Institute Name,Branch Name,Category,Gender,Closing Rank,Tuition Fee,Affiliated To
AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,52794,60000,JNTUH
AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,55882,60000,JNTUH
AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,135836,60000,JNTUH
AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,140957,60000,JNTUH
AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,OC,BOYS,64146,45000,JNTUH
AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,51948,45000,JNTUH
AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,51025,45000,JNTUH
AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,MECHANICAL ENGINEERING,OC,BOYS,156840,45000,JNTUH
AVANTHI INST OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),OC,BOYS,90724,70000,JNTUH
AVANTHI INST OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,101723,70000,JNTUH
Institute Name,Branch Name,OC,BOYS,OC BOYS,Tuition Fee,"TS
Affiliated To"
AVANTHI INST OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,67648,70000,JNTUH
AVANTHI INST OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,115877,70000,JNTUH
AVANTHI INST OF ENGG AND TECHNOLOGY,ELECTRONICS AND COMMUNICATION  ENGINEERING,OC,BOYS,129709,70000,JNTUH
AVANTHI INST OF ENGG AND TECHNOLOGY,MECHANICAL ENGINEERING,OC,BOYS,92091,70000,JNTUH
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,OC,BOYS,98401,92000,JNTUH
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,OC,BOYS,87468,92000,JNTUH
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),OC,BOYS,80879,92000,JNTUH
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,54874,92000,JNTUH
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,59360,92000,JNTUH
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,77969,92000,JNTUH
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),ELECTRONICS AND COMMUNICATION ENGINEERING,OC,BOYS,72441,92000,JNTUH
AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),MECHANICAL ENGINEERING,OC,BOYS,156840,92000,JNTUH
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,CIVIL ENGINEERING,OC,BOYS,66685,89000,JNTUH
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),OC,BOYS,43329,89000,JNTUH
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),OC,BOYS,55114,89000,JNTUH
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,OC,BOYS,53054,89000,JNTUH
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),OC,BOYS,84396,89000,JNTUH
